title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Finding Father Christmas,TV-G,86,6.8,,"Drama, Romance",2016,"Raised by her mother, but orphaned at a young age at Christmas, Miranda finds a clue that will take her to the truth about her father. Along the way, she finds romance and rekindles her Christmas spirit.",Terry Ingram,"Erin Krakow, Niall Matter, P. Lynn Johnson, Michael Kopsa, ","2,584",,"https://m.media-amazon.com/images/M/MV5BYjgyNjgzYmQtYjFlZi00NGMxLWJlOWEtY2QyNDUwN2IzYTE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzk0NTA5NQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
One Christmas Eve,TV-G,86,6.1,,"Comedy, Drama, Family",2014,"A series of mishaps threaten a recently divorced mom's attempts to make her two kids' first Christmas ""without dad"" perfect.",Jay Russell,"Anne Heche, Kevin Daniels, Carlos Gómez, Griffin Kane, ","1,607",,"https://m.media-amazon.com/images/M/MV5BN2FmNGZkYzYtYTc1MC00MDVjLThkOTMtMjQzZTgyMWEwODM5XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
It Takes a Christmas Village,TV-PG,87,6.5,,"Comedy, Romance",2021,"When road construction threatens to close the town's shops, the mayor offers a Christmas market to boost sales, but she needs to convince reclusive Darcy to host it at his family's mill, reigniting old feuds while also sparking romance.",Corey Sevier,"Brooke Nevin, Corey Sevier, Alli Chung, Lynne Griffin, ",536,,"https://m.media-amazon.com/images/M/MV5BMzE1M2I0NGMtYzkyOS00MDYwLTlmNmQtOTgxOTEzYTI0MTE1XkEyXkFqcGdeQXVyNjMzMjU5NTk@._V1_UY209_CR8,0,140,209_AL_.jpg"
A Christmas Exchange,TV-PG,87,6,,"Drama, Romance",2020,"This holiday season, Molly Cooper swaps her snow covered farmhouse for Patrick Kensington's posh London apartment. While enjoying Christmas time in the UK, Molly begins to look forward to ...                See full summary »",Justin G. Dyck,"Laura Vandervoort, Rainbow Sun Francks, Yanic Truesdale, Martin Roach, ",658,,"https://m.media-amazon.com/images/M/MV5BZDY3NDUwZjUtYzA4MS00ZWNjLWExMmUtMDBiMTA4N2JlZTViXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR2,0,140,209_AL_.jpg"
A Christmas Detour,TV-G,85,6.1,,"Comedy, Romance",2015,"An anxious bride-to-be throws in with a broken-hearted guy and a happily married couple for an emergency ride to NYC, learning about each other and themselves along the way.",Ron Oliver,"Candace Cameron Bure, Paul Greene, Sarah Strange, David James Lewis, ","3,391",,"https://m.media-amazon.com/images/M/MV5BYjAyYzEyZGYtNDJlZC00YjcxLTlhNjYtZTk1NjI2MDlmMGQ0XkEyXkFqcGdeQXVyNzk0NTA5NQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
Christmas in Homestead,TV-G,84,6.6,,Romance,2016,Life is turned upside down for a small town mayor when a famous actress arrives to shoot her new Christmas movie.,Steven R. Monroe,"Taylor Cole, Michael Rady, Brooklyn Rae Silzer, Jeff Branson, ","2,668",,"https://m.media-amazon.com/images/M/MV5BODFiOGUwZDQtZjRjNi00MjIyLTgyYjUtYzNiM2Y0NjI1MDBkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDE2Mjc2OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas in Evergreen: Letters to Santa,TV-G,84,6.6,,"Drama, Fantasy, Romance",2018,Lisa Palmer's trip home to Evergreen for the holidays finds her fulfilling the wishes of a Christmas Past and finding a romance full of Christmas magic. Stars Jill Wagner and Mark Deklin.,Sean McNamara,"Jill Wagner, Mark Deklin, Holly Robinson Peete, Barbara Niven, ","2,105",,"https://m.media-amazon.com/images/M/MV5BNzExY2NkYTItYTg4NC00YmJlLTlhOWYtYTcxYWU1ODBhZTUxXkEyXkFqcGdeQXVyNzg0MDM4NTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
Sweet Mountain Christmas,TV-G,88,6.3,,Romance,2019,"As country-music star Laney Blu spends more time in her hometown, it becomes less and less like she remembered it.",David Weaver,"Megan Hilty, Marcus Rosner, Teryl Rothery, Kate Craven, ",702,,"https://m.media-amazon.com/images/M/MV5BZDEyYTVhNzEtZmJkNS00NGM4LTlhZmItMTg1Y2RmODJmNDM1XkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas in Vienna,TV-G,83,6.4,,"Drama, Family, Romance",2020,"Jess, a concert violinist whose heart just isn't in it anymore, goes to Vienna for a performance. While there, she finds the inspiration she has been missing, and a new love.",Maclain Nelson,"Sarah Drew, Brennan Elliott, Alina Fritsch, Allegra Tinnefeld, ","1,679",,"https://m.media-amazon.com/images/M/MV5BMzc3YTcyNWQtODkxYS00NWIxLWE1MGMtZTViZmZjOGVhMmYyXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Magical Christmas Ornaments,TV-14,90,6.3,,"Drama, Fantasy, Romance",2017,"""After a bad breakup, former Christmas lover Marie (Lowndes) loses her Christmas spirit. Trying to restore it, her mother sends Marie Christmas ornaments from her childhood, and a ...                See full summary »",Don McBrearty,"Jessica Lowndes, Brendan Penny, Farah Merani, Stephen Huszar, ","1,898",,"https://m.media-amazon.com/images/M/MV5BMDFjYWRhNjUtNmZkMy00OTljLWI4NWQtZGQ4MTQwY2ExNGY3XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Two Turtle Doves,TV-G,84,6.8,,"Drama, Family, Romance",2019,"Dr. Sharon Hayes (DeLoach) searches for a beloved family heirloom in a small Christmas town. When she unexpectedly discovers an adorable little girl and her disheartened father (Rady), she realizes that Christmas miracles really do happen.",Lesley Demetriades,"Nikki Deloach, Michael Rady, Michaela Russell, Zach Tinker, ","1,434",,"https://m.media-amazon.com/images/M/MV5BNGYyNGIzMTQtNjU0Mi00NGE5LTgxM2EtYWM2OTQwMzU5ODBkXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Four Christmases and a Wedding,TV-14,90,5.9,,"Comedy, Drama, Family",2017,"Chloe plans the first Christmas Fair where she meets Evan and falls in love, but he goes to Norway for his dream job. He brings someone else to the second one; during the third one, Chloe is dating Ted. What will happen this year?",Marita Grabiak,"Arielle Kebbel, Corey Sevier, Markie Post, Madison Smith, ","1,409",,"https://m.media-amazon.com/images/M/MV5BYjBkY2Y1MjYtNjQ4YS00NTJlLTlmNDUtNmE1ODc5ZDNmYzg2XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Reindeer Games Homecoming,TV-PG,90,6.9,,"Comedy, Drama, Romance",2022,"After her father dies, MacKenzie keeps his tradition of the town's fundraising ""The Reindeer Games"" alive, but when high-school crush Chase shows up and plays against her, the spark between them grows.",Brian Herzlinger,"Sarah Drew, Justin Bruening, Brian Sills, Dorian Giordano, ",603,,"https://m.media-amazon.com/images/M/MV5BN2VmNjI2NGItZTExMi00MDMxLWJkNjgtYzNhYWVlM2FjMWFkXkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Mistletoe & Menorahs,TV-PG,85,6.4,,"Comedy, Drama, Romance",2019,"When a toy-company executive must learn about Hanukkah to land a big account, she enlists the help of her co-worker's friend, who happens to be in need of turning his pad into a Christmas Wonderland to impress his girlfriend's father.",Max McGuire,"Kelley Jakle, Jake Epstein, Cory Lee, Jon McLaren, ",992,,"https://m.media-amazon.com/images/M/MV5BY2QwNzgwMjgtM2Y3MS00YzVjLTgxYzgtNjQ4ODEzN2I3MTFmXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
Picture a Perfect Christmas,TV-G,84,6.9,,"Comedy, Drama, Romance",2019,A professional photographer returns home for Christmas to visit her grandmother and is hired as a nanny for the young nephew of their next-door-neighbor.,Paul Ziller,"Merritt Patterson, Jon Cor, Luke Roessler, Paula Shaw, ","1,872",,"https://m.media-amazon.com/images/M/MV5BMjllMGNlOTYtN2Y4NC00N2M0LTgxYTItMjA0MWQ0ZGJiYTEzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas Doctor,TV-G,84,6.9,,"Drama, Romance",2020,A travelling doctor finds love and a home at her latest assignment in Willowbrook.,Kevin Fair,"Holly Robinson Peete, Adrian Holmes, Fred Henderson, Bronwen Smith, ",912,,"https://m.media-amazon.com/images/M/MV5BNTdhOWI0OWEtZjJkYS00NTA2LWI5MTMtYTQzMTFmZmM4ZTgxXkEyXkFqcGdeQXVyNjY4Mzc0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Boyfriend for Christmas,TV-G,94,6.4,,"Comedy, Drama, Family",2004,"On Christmas Day, Santa brings two lonely people together. But can love overcome deception?",Kevin Connor,"Kelli Williams, Patrick Muldoon, Charles Durning, Bruce Thomas, ","3,404",,"https://m.media-amazon.com/images/M/MV5BMTcyNjY4NDg0NV5BMl5BanBnXkFtZTcwNTA1NjMzMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
The Christmas Project,TV-PG,92,5.5,,"Comedy, Family",2016,"A writer looks back on his memorable 1986 Christmas, dealing with brothers, bullies, first love, pregnancy and family ""elving.""",Michael Buster,"Jacob Buster, Anson Bagley, Josh Reid, Cooper Johnson, ",541,,"https://m.media-amazon.com/images/M/MV5BNTc5MmQ5MzktNTFjOS00NzdlLWIyOTQtZGQzOTI2NjY2Y2ExXkEyXkFqcGdeQXVyMjcwMTkyNA@@._V1_UY209_CR1,0,140,209_AL_.jpg"
Toying with the Holidays,TV-PG,86,6.3,,"Comedy, Romance",2021,"Danielle returns to her hometown for the holidays with her young son Paul hoping to introduce him to some beloved holiday traditions, in particular the town's North Pole Express train.",Bradley Walsh,"Chad Michael Murray, Cindy Busby, Kate Trotter, Callum Shoniker, ",666,,"https://m.media-amazon.com/images/M/MV5BMzBiNDk3NTEtZjhlYS00ZGI0LThkMTAtYWY4YTBjZWQ3ZTMzXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Five More Minutes: Moments Like These,TV-G,84,6.8,,"Comedy, Drama, Family",2022,"A Christmas wish gets realized in an unexpected way as a young widow must return to her former home for the holidays. Inspired by Scotty McCreery's song ""Five More Minutes.""",Kevin Fair,"Ashley Williams, Lucas Bryant, Brady Droulis, Francesca Bianchi, ",684,,"https://m.media-amazon.com/images/M/MV5BZGZjYzdiOGMtZjQ4ZC00MzUxLWI0YmQtM2Y1Y2FlOWEzZWMyXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
My Christmas Love,TV-G,85,6.3,,"Comedy, Romance",2016,"A hopeless romantic who can't ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas"" as gifts anonymously at her door and begins to believe that the mystery suitor may finally live up to her expectations.",Jeff Fisher,"Meredith Hagner, Bobby Campo, Megan Park, Aaron O'Connell, ","2,873",,"https://m.media-amazon.com/images/M/MV5BOTA4NTNlZGMtOGFkMy00MzhlLTg5M2ItZWE4Mjk0NTgzNGQzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyODM4MjYxMA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Jingle Bell Bride,TV-G,84,6.1,,"Drama, Romance",2020,"Wedding planner Jessica Perez travels to a remote town in Alaska to find a rare flower for a celebrity client and is charmed by the small town during Christmas, as well as by the handsome local helping her.",Allan Harmon,"Julie Gonzalo, Ronnie Rowe, BJ Harrison, Keenan Mentzos, ","1,370",,"https://m.media-amazon.com/images/M/MV5BZjNlNzY1YmEtZGI2OC00YzQ3LWJkYmMtNDliNzk2NjM4M2EwXkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas Bow,TV-G,83,6.7,,"Drama, Music, Romance",2020,"When an accident puts her music dreams on hold, a gifted violinist reconnects with an old family friend who helps her heal and find love during the holidays.",Clare Niederpruem,"Lucia Micarelli, Michael Rady, James Saito, Joy Perry, ","1,241",,"https://m.media-amazon.com/images/M/MV5BMGQwN2I3YjctODUyYi00M2RlLTg1YzEtMTZjYTJmODYwMzc0XkEyXkFqcGdeQXVyODU3NzkyMDM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas on Ice,TV-PG,87,6.1,,Romance,2020,A former figure skater and a former hockey player work together to void the mayor from closing the local skating rink.,John Stimpson,"Abigail Klein, Ryan Cooper, Caroline Portu, Will Lyman, ","1,108",,"https://m.media-amazon.com/images/M/MV5BOWQ0MmVlMWMtM2E5OS00NjBjLWE4NTMtMTkyY2ZjOGUxZjBkXkEyXkFqcGdeQXVyNDI3NjA5MTY@._V1_UY209_CR1,0,140,209_AL_.jpg"
Christmas Mail,TV-PG,89,5.3,,"Comedy, Drama, Family",2010,"In this holiday romantic comedy, a mysterious woman who works at the post office answering Santa's mail captures the heart of a disillusioned postal carrier",John Murlowski,"Ashley Scott, A.J. Buckley, Lochlyn Munro, Rolonda Watts, ","1,910",,"https://m.media-amazon.com/images/M/MV5BMjIzNzEyNzA3M15BMl5BanBnXkFtZTcwNDMwNjA4NA@@._V1_UY209_CR11,0,140,209_AL_.jpg"
'Tis the Season for Love,TV-G,98,6.3,,"Comedy, Drama, Family",2015,"A small-town girl who moved to New York to pursue her dreams returns home for the holidays, only to realize that maybe her dreams aren't miles away, but right in her hometown.",Terry Ingram,"Sarah Lancaster, Brendan Penny, Gwynyth Walsh, Andrew Francis, ","2,017",,"https://m.media-amazon.com/images/M/MV5BZDQ1NzViMzItNGIyMy00ZDE2LWEzNjYtYzZhZjY3N2MyOWQwXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Road to Christmas,TV-G,84,6.7,,"Comedy, Drama, Romance",2018,"A TV producer is producing a Christmas Special for the 5th year but she is then told to co-produce it with the host's son. Initially, she's not too happy about it but - Christmas brings friends and families together.",Allan Harmon,"Jessy Schram, Teryl Rothery, Matreya Scarrwener, Chad Michael Murray, ","2,209",,"https://m.media-amazon.com/images/M/MV5BNjE3NzNmM2EtMDFmZC00MGU3LWEwNWItZmY0ZTIxMmY0OGNmXkEyXkFqcGdeQXVyNzg0MDM4NTc@._V1_UX140_CR0,0,140,209_AL_.jpg"
Girlfriends of Christmas Past,TV-PG,90,5.1,,"Comedy, Romance",2016,This Christmas three women plot revenge on the guy who cruelly dumped them all. But will vengeance be worth risking a chance at new love?,Jake Helgren,"Tammin Sursok, Brent Bailey, Lindsey McKeon, Abigail Klein, ",958,,"https://m.media-amazon.com/images/M/MV5BZjlmNWYzMWQtNGFjOC00MDE4LTg0YTAtNTkxODYzYWE5YTZhXkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
My Favorite Christmas Melody,TV-PG,87,5.5,,"Comedy, Romance",2021,"Follows Abby, a promising singer-songwriter, as she rediscovers her voice and goes after her dreams, and lets the possibility of love in too.",Michael Kennedy,"Mya, Rainbow Sun Francks, Shakura S'Aida, Carson Reaume, ",278,,"https://m.media-amazon.com/images/M/MV5BNGUwN2ZiZGQtZGExMS00OWMwLTk0YTAtNjZlNjRiMjRkZTIzXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Thomas Kinkade's Christmas Cottage,PG,96,6.3,,"Biography, Drama",2008,"A look at the inspiration behind Thomas Kinkade's painting The Christmas Cottage, and how the artist was motivated to begin his career after discovering his mother was in danger of losing their family home.",Michael Campus,"Peter O'Toole, Jared Padalecki, Marcia Gay Harden, Aaron Ashmore, ","2,791",,"https://m.media-amazon.com/images/M/MV5BNTk0NjU5NjE2NV5BMl5BanBnXkFtZTcwNTY1ODIwMg@@._V1_UY209_CR4,0,140,209_AL_.jpg"
Saying Yes to Christmas,TV-PG,87,5.8,,"Drama, Romance",2021,"A magical Christmas wish makes a career-obsessed woman say ""yes"" to every invitation while she's home for the holidays. However, past feelings get reignited when an old flame joins her hectic schedule of Yuletide activities.",Graeme Campbell,"Erika Prevost, Romaine Waite, Zoe Doyle, Sabrina Grdevich, ",387,,"https://m.media-amazon.com/images/M/MV5BZGEwZmQ0YjMtOWEwZS00NmZkLTk2NDgtZTNlM2ZkN2Y1NzgyXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
A Christmas Reunion,TV-G,86,5.1,,"Comedy, Romance",2015,"A high-flying advertising executive returns to her hometown following the death of her aunt, whose dying wish was for her niece to re-open her bakery shop and host the town's 50th annual Christmas cookie contest.",Sean Olson,"Denise Richards, Patrick Muldoon, Jake Busey, Parker Stevenson, ",827,,"https://m.media-amazon.com/images/M/MV5BZDljZTU4YmUtMDVlOC00ZTFjLWIxYzUtZDVkNDYxMDc5YjY3XkEyXkFqcGdeQXVyMTMzODQ1NDE5._V1_UY209_CR8,0,140,209_AL_.jpg"
Catch a Christmas Star,TV-G,84,6.2,,"Comedy, Drama, Family",2013,"With the help of his two precocious kids, a widower reconnects with his high school sweetheart, who just happens to be one of the biggest pop stars on the planet.",John Bradshaw,"Shannon Elizabeth, Steve Byers, Julia Lalonde, Kyle Breitkopf, ","1,899",,"https://m.media-amazon.com/images/M/MV5BZjU2OGQ1M2UtYTk3YS00ZDU2LWFlMzItNjNhODlhZWE3YWQ0XkEyXkFqcGdeQXVyNjU2NTIzNDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Dashing in December,TV-14,88,6.2,,"Drama, Romance",2020,"When Wyatt Burwall finally returns home for the holidays in an effort to convince his mother Deb to sell the family's Colorado ranch, a romance unexpectedly ignites between Wyatt and their ...                See full summary »",Jake Helgren,"Peter Porte, Juan Pablo Di Pace, Andie MacDowell, Caroline Harris, ","1,509",,"https://m.media-amazon.com/images/M/MV5BMjY2ZjY1ODktODBmMi00ODRlLWJlYTctOTBjM2M0ZDRhY2Q5XkEyXkFqcGdeQXVyNjIwMDIyOTg@._V1_UY209_CR0,0,140,209_AL_.jpg"
12 Gifts of Christmas,TV-G,84,6.3,,"Family, Romance",2015,"With just two weeks left until Christmas, a busy marketing executive hires a struggling artist-turned-personal shopper to help him buy gifts for his friends and family.",Peter Sullivan,"Katrina Law, Aaron O'Connell, Donna Mills, Melanie Nelson, ","5,162",,"https://m.media-amazon.com/images/M/MV5BNDc4MjE3Mjk2Ml5BMl5BanBnXkFtZTgwNzU3OTIyNzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Oh Christmas Tree!,TV-G,87,6.3,,"Comedy, Family, Romance",2013,"After a woman unexpectedly loses her job, she must work at her family's Christmas-tree lot to make ends meet during the holiday season.",Craig Pryce,"Sarah Lancaster, Eric Johnson, Colin Mochrie, Gregory Ambrose Calderone, ","2,486",,"https://m.media-amazon.com/images/M/MV5BY2JmNTA3ODgtN2Q5Ni00ZDMwLTk0MjMtMTRmOTMzYWUyMjNkXkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
The Tree That Saved Christmas,TV-G,88,6.1,,"Drama, Romance",2014,A woman returns to her Vermont hometown to try and save her family's Christmas tree farm from foreclosure.,David Winning,"Lacey Chabert, Corey Sevier, Matthew Kevin Anderson, Jim Thorburn, ","1,240",,"https://m.media-amazon.com/images/M/MV5BNTcwNzU4MTY1MF5BMl5BanBnXkFtZTgwODc3NzQ5MjE@._V1_UY209_CR7,0,140,209_AL_.jpg"
12 Days of Giving,TV-G,87,6,,"Comedy, Drama, Family",2017,"After winning a $50,000 prize, a man decides to pay things forward by buying Christmas gifts for strangers under the pseudonym ""Lucky the Elf.""",Christine Conradt,"Ashley Jones, David Blue, Jax Connolly, Preston James Hillier, ","1,089",,"https://m.media-amazon.com/images/M/MV5BYWMzZjliZTAtYzFkMS00Y2IwLWFkOWMtNDYyOTNkMDFhYzBiXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas a la Mode,TV-PG,87,6.4,,"Drama, Romance",2019,A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,John Stimpson,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum, ","1,074",,"https://m.media-amazon.com/images/M/MV5BZjZkNWQzMTItMTAwMy00OGM1LWE1ZTQtMDJkZjM2YTRiZDI0XkEyXkFqcGdeQXVyMTE5MTkxMjAx._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas at Graceland: Home for the Holidays,TV-G,84,6.2,,"Music, Romance",2019,"Harper is in Memphis before Christmas, visiting her sister and family after three years working at museums in Europe. Visiting Graceland with her two nieces, Harper meets a single dad of three kids and is offered a job as temporary nanny.",Eric Close,"Kaitlin Doubleday, Adrian Grenier, Sunny Mabrey, Alan Wells, ","1,131",,"https://m.media-amazon.com/images/M/MV5BYTY5NmUwMWUtNWQ3ZC00NmE5LWE2ZDEtZDZjYmQ3NWQzZTZkXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Angel of Christmas,TV-G,84,6.2,,"Comedy, Romance",2015,"After she finally gets the chance to pen her very first article, an aspiring newspaper writer digs into her family history to find the perfect Christmas story.",Ron Oliver,"Jennifer Finnigan, Jonathan Scarfe, Holly Robinson Peete, Christie Laing, ","2,320",,"https://m.media-amazon.com/images/M/MV5BNDMwOGZlYzUtNGYyNi00ZmM5LThlODgtNGZkNmU3YTY4NzY2XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Wrapped Up in Love,TV-G,89,5.4,,"Comedy, Family, Romance",2021,"Ashley has always been the ""Christmas Queen"" in town. That is, until she meets her match, Ben, a handsome new guy in town, who loves Christmas just as much as she does. They join forces to make Christmas even more meaningful.",Michelle Ouellet,"Brittany Bristow, Olivier Renaud, Tara Joshi, Matt Wells, ",385,,"https://m.media-amazon.com/images/M/MV5BNDUwMTM1ZDAtOGQ3My00NjI1LWFkNGQtMTNiMzUwNTk3ZDk4XkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Trading Christmas,TV-G,87,6.9,,"Comedy, Romance",2010,A Teacher from Washington state decides to do a house swap with a Boston Professor to be able to surprise and spend Christmas with her daughter.,Michael M. Scott,"Tom Cavanagh, Faith Ford, Gil Bellows, Gabrielle Miller, ","1,866",,"https://m.media-amazon.com/images/M/MV5BODA2Njg0MjY2MF5BMl5BanBnXkFtZTgwNDk1NzAxMzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Love Always, Santa",TV-G,84,6.7,,"Drama, Romance",2016,"A widow's daughter writes to Santa Claus, asking for her mother to find love again. When a struggling writer receives the letter, he finds new inspiration and the beginnings of a romance.",Brian Herzlinger,"Marguerite Moreau, Mike Faiola, Brady Smith, Isadora Swann, ","1,784",,"https://m.media-amazon.com/images/M/MV5BNzc4ZWU5NTMtM2RjYy00MmEyLTg1NDctMGU4YjcxYTQ4NDlmXkEyXkFqcGdeQXVyMjg1NDc1NA@@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Christmas Ornament,TV-G,83,6.8,,Romance,2013,"A widow plans to give Christmas festivities a miss, as they bring back too many memories of her late husband.",Mark Jean,"Kellie Martin, Cameron Mathison, Jewel Staite, Brendan Meyer, ","2,176",,"https://m.media-amazon.com/images/M/MV5BMmZiNzU3YzMtYjUyZC00YTkzLWE0NzQtYjY0MjI2OWFhZDBhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
